用語,読み,訳語候補番号,訳語候補,使い分け基準,用例(和文),用例(英文),用例出典,注釈,
登記簿,とうきぼ,,register,,,,,,
同居の親族,どうきょのしんぞく,,relatives living together,,,,,,
倒産,とうさん,,insolvency,,,,,,
動産,どうさん,,movables,,,,,,
動産質,どうさんしち,,pledge on movable property,,,,,,
倒産処理手続,とうさんしょりてつづき,,insolvency proceeding(s),,外国倒産処理手続,foreign insolvency proceeding(s),,,
投資,とうし,,investment,,,,,,
投資顧問,とうしこもん,,investment advisory,,,,,,
投資事業,とうしじぎょう,,investment business,,,,,,
投資事業有限責任組合,とうしじぎょうゆうげんせきにんくみあい,1,investment limited partnership,,,,,,
投資事業有限責任組合,とうしじぎょうゆうげんせきにんくみあい,2,investment business limited partnership,,,,,,
投資者,とうししゃ,,investor,,投資者（の）保護,protection of investors,,,
当事者,とうじしゃ,,party,,,,,,
当事者照会,とうじしゃしょうかい,,inquiry to opponent,,,,,,
当事者訴訟,とうじしゃそしょう,,public law related action,,,,,,
当事者適格,とうじしゃてきかく,,standing,,,,,,
当事者能力,とうじしゃのうりょく,,capacity to be a party,,,,,,
投資信託,とうししんたく,1,investment trust,,,,,,
投資信託,とうししんたく,2,mutual fund,商品としての投資信託を指す場合,,,,,
投資信託委託会社,とうししんたくいたくがいしゃ,,settlor company of investment trust,,,,,,
同時審判,どうじしんぱん,,simultaneous trial and decision,,,,,,
投資法人,とうしほうじん,,investment corporation,,,,,,
盗取,とうしゅ,,stealing,,,,,,
同時履行の抗弁,どうじりこうのこうべん,,defense of simultaneous performance,,,,,,
逃走,とうそう,1,escape,,,,,,
逃走,とうそう,2,flight,,,,,,
同族会社,どうぞくがいしゃ,,family company,,,,,,
到達,とうたつ,1,arrival,,,,,,
到達,とうたつ,2,attainment,,,,,,
到達,とうたつ,3,accession,成年等一定の状態への到達,,,,,
盗難,とうなん,,theft,,,,,,
投票,とうひょう,1,vote,,,,,,
投票,とうひょう,2,poll,,,,,,
盗品,とうひん,,stolen property,,,,,,
当分の間,とうぶんのかん,,until otherwise provided for by law,,,,,,
答弁,とうべん,1,answer,,,,,,
答弁,とうべん,2,reply,,,,,,
答弁,とうべん,3,account,,,,,,
答弁,とうべん,4,plead,,,,,,
答弁書,とうべんしょ,,(written) answer,,,,,,
逃亡犯罪人,とうぼうはんざいにん,,fugitive,,逃亡犯罪人の拘禁,detention of fugitive,逃亡犯罪人引渡法5条,,
謄本,とうほん,1,transcript,,,,,,
謄本,とうほん,2,(certified) copy,,,,,,
同盟国,どうめいこく,1,country of the Union,,,,,,
同盟国,どうめいこく,2,union,,,,,,
同盟国,どうめいこく,3,allies,,,,,,
同盟国,どうめいこく,4,allied nations,,,,,,
同盟罷業,どうめいひぎょう,,strike,,,,,,
盗用,とうよう,,misappropriation,,,,,,
同様とする,どうようとする,,the same applies to,,,,,,
到来する,とうらいする,1,fall,,,,,,
到来する,とうらいする,2,arrive,,,,,,
登録,とうろく,1,registration,原則,登録の拒絶,refusal of registration,外国弁護士による法律事務の取扱いに関する特別措置法26条,,
登録,とうろく,2,accreditation,評価行為を含む場合,,,,,
登録異議の申立て,とうろくいぎのもうしたて,,filing of opposition to registration,,,,,,
登録異議申立書,とうろくいぎもうしたてしょ,,written opposition (to registration),,,,,,
登録意匠,とうろくいしょう,,registered design,,,,,,
登録換え,とうろくがえ,,transfer of registration,,登録換え請求,a request for the transfer of registration,外国弁護士による法律事務の取扱いに関する特別措置法28条,,
登録機関,とうろくきかん,1,registration agency,行政機関の場合,,,,,
登録機関,とうろくきかん,2,registration organization,民間の場合,,,,,
登録原票,とうろくげんぴょう,,(alian) registration card,,,,,,
登録実用新案,とうろくじつようしんあん,,registered utility model,,,,,,
登録事務,とうろくじむ,,registration affairs,,,,,,
登録出願,とうろくしゅつがん,,(registration) application,,,,,,
登録出願人,とうろくしゅつがんにん,,(registration) applicant,,,,,,
登録証,とうろくしょう,,registration certificate,,,,,,
登録商標,とうろくしょうひょう,,registered trademark,,,,,,
登録証明書,とうろくしょうめいしょ,,registration certificate,,,,,,
登録審査会,とうろくしんさかい,,registration screening board,,,,,,
登録申請者,とうろくしんせいしゃ,,registration applicant,,,,,,
登録請求,とうろくせいきゅう,,request for registration,,登録請求書,a written request for registration,外国弁護士による法律事務の取扱いに関する特別措置法25条,,
登録請求書,とうろくせいきゅうしょ,,written request for registration,,,,,,
登録認定機関,とうろくにんていきかん,1,registered certifying agency,行政機関の場合,,,,,
登録認定機関,とうろくにんていきかん,2,registered certifying organization,民間の場合,,,,,
登録品種,とうろくひんしゅ,,registered variety,,,,,,
登録簿,とうろくぼ,,register,,,,,,
登録防護標章,とうろくぼうごひょうしょう,,registered defensive trademark,,,,,,
登録免許税,とうろくめんきょぜい,,registration and license tax,,,,,,
登録有形文化財,とうろくゆうけいぶんかざい,,registered tangible cultural property,,,,,,
登録料,とうろくりょう,,registration fee,,,,,,
図画,とが,,picture,,,,,,
特赦,とくしゃ,,special pardon,,,,,,
独占的状態,どくせんてきじょうたい,,monopolistic situation,,,,,,
得喪,とくそう,,acquisition or loss (of rights),,,,,,
特則,とくそく,,special provision,,,,,,
督促,とくそく,,demand,,,,,,
督促異議,とくそくいぎ,,objection to demand,,,,,,
督促手続,とくそくてつづき,,demand procedure,,,,,,
特徴的な給付,とくちょうてきなきゅうふ,,characteristic performance,,,,,,
特定,とくてい,1,specified,法令等の中で特定する対象が示されている場合,,,,,
特定,とくてい,2,special,,,,,,
特定,とくてい,3,specific,,,,,,
特定金銭債権,とくていきんせんさいけん,,specified monetary claim,,,,,,
特定資産,とくていしさん,,specified assets,,,,,,
特定施設,とくていしせつ,,specified facility,,,,,,
特定独立行政法人,とくていどくりつぎょうせいほうじん,,specified incorporated administrative agency,,,,,,
特定物,とくていぶつ,1,specified things,,,,,,
特定物,とくていぶつ,2,identified goods,,,,,,
特定目的会社,とくていもくてきがいしゃ,,specified purpose company,,,,,,
特定目的信託,とくていもくてきしんたく,,specified purpose trust,,,,,,
特に信用すべき情況,とくにしんようすべきじょうきょう,,circumstances that afford special credibility,,,,,,
特に必要があると認める,とくにひつようがあるとみとめる,,find particularly necessary,,実施を適正にするため特に必要があると認めるときは、,if it is found particularly necessary for the proper implementation,高圧ガス保安法50条,,
特別異議申述期間,とくべついぎしんじゅつきかん,,special period for making objections,,,,,【注】（出典）民事再生法226条,
特別区,とくべつく,,special ward,,,,,,
特別抗告,とくべつこうこく,,special appeal against ruling to the Supreme Court,,,,,,
特別上告,とくべつじょうこく,,special appeal to the court of the last resort,,,,,,
特別職,とくべつしょく,,special service,,,,,,
特別清算,とくべつせいさん,,special liquidation,,,,,,
特別清算開始,とくべつせいさんかいし,,commencement of special liquidation proceeding(s),,,,,,
特別措置法,とくべつそちほう,,Act on Special Measures,,租税特別措置法,Act on Special Measures concerning Taxation,,,
特別損失,とくべつそんしつ,,extraordinary loss,会計勘定科目,,,,,
特別代理人,とくべつだいりにん,,special agent,,,,,,
特別調査期間,とくべつちょうさきかん,,special period for investigation,,,,,,
特別調査期日,とくべつちょうさきじつ,,special date of investigation,,,,,,
特別の先取特権,とくべつのさきどりとっけん,,special statutory lien,,,,,,
特別の法律,とくべつのほうりつ,,special law,,,,,,
特別目的会社,とくべつもくてきがいしゃ,,special purpose company,,,,,,
特別養子,とくべつようし,,specially adopted child,,,,,,
特別利益,とくべつりえき,,extraordinary profit,会計勘定科目,,,,,
匿名組合,とくめいくみあい,,silent partnership,,,,,,
匿名組合員,とくめいくみあいいん,,silent partner,,,,,,
特約,とくやく,,special provision,,,,,,
特有財産,とくゆうざいさん,,separate property,,,,,,
独立行政法人,どくりつぎょうせいほうじん,,incorporated administrative agency,,,,,,
独立性,どくりつせい,1,independence,原則,,,,,
独立性,どくりつせい,2,impartiality,第三者性,,,,,
独立当事者参加,どくりつとうじしゃさんか,,intervention as independent party,,,,,,
特例期間,とくれいきかん,1,exception period,原則,,,,,
特例期間,とくれいきかん,2,grace period,猶予期間,,,,,
特例規定,とくれいきてい,,special provision,,,,,,
特例に関する法律,とくれいにかんするほうりつ,,Act on Special Measures,,,,,,
特例有限会社,とくれいゆうげんがいしゃ,,special limited liability company,,,,,,
都市計画,としけいかく,,city planning,,,,,,
都市再開発,としさいかいはつ,,urban redevelopment,,,,,,
とする,とする,,is,,,,,,
土地改良事業,とちかいりょうじぎょう,,land improvement project,,,,,,
土地管轄,とちかんかつ,,territorial jurisdiction,,,,,,
土地区画整理事業,とちくかくせいりじぎょう,,land rezoning project,,,,,,
と畜場,とちくじょう,,slaughterhouse,,,,,,
土地の所有者,とちのしょゆうしゃ,1,landowner,,,,,,
土地の所有者,とちのしょゆうしゃ,2,owner of (the) land,,,,,,
特許,とっきょ,,patent,,,,,,
特許管理人,とっきょかんりにん,,patent administrator,,,,,,
特許業務法人,とっきょぎょうむほうじん,,patent professional corporation,,,,,,
特許権,とっきょけん,,patent right,,,,,,
特許権者,とっきょけんしゃ,,patentee,,,,,,
特許出願,とっきょしゅつがん,,patent application,,,,,,
特許証,とっきょしょう,,certificate of patent,,,,,,
特許請求,とっきょせいきゅう,,(patent) claim,,,,,,
特許発明,とっきょはつめい,,patented invention,,,,,,
特許番号,とっきょばんごう,,patent number,,,,,,
特許料,とっきょりょう,,patent fee,,,,,,
都道府県,とどうふけん,,prefecture,,,,,,
都道府県知事,とどうふけんちじ,,governor,,,,,,
届出,とどけで,1,notification,,当該届出に係る（事項）,(matter) stated in the notification,,,
届出,とどけで,2,report,,,,,,
届出,とどけで,3,registration,,,,,,
届出再生債権者,とどけでさいせいさいけんしゃ,,holder of filed rehabilitation claim,,,,,,
届出書,とどけでしょ,1,written notice,,,,,,
届出書,とどけでしょ,2,written report,,,,,,
届出書,とどけでしょ,3,written notification,,,,,,
届出書,とどけでしょ,4,registration form,,,,,,
賭博,とばく,,gambling,,,,,,
取消し,とりけし,1,rescission,一般的な場合,,,,【注】執行の取消など、将来に向かって効力を失わせる場合には、revoke(revocation)を使うこともある,
取消し,とりけし,2,revocation,裁判等の取消し,,,,,
取消権,とりけしけん,1,right to rescind,,,,,,
取消権,とりけしけん,2,rescission right,,,,,,
取消訴訟,とりけしそしょう,,action for revocation of administrative disposition,,,,,,
取り消すことができる,とりけすことができる,,voidable,,,,,,
取下げ,とりさげ,,withdrawal,,,,,,
取締役,とりしまりやく,,director,,,,,,
取締役会,とりしまりやくかい,,board of directors,,,,,,
取締役会設置会社,とりしまりやくかいせっちがいしゃ,,company with board of directors,,,,,,
取調べ,とりしらべ,1,interrogation,被疑者の取調べ,,,,,
取調べ,とりしらべ,2,interview,参考人・証人等の取調べ,,,,,
取調べ,とりしらべ,3,examination,証拠の取調べ,,,,,
取立て,とりたて,,collection,,,,,,
取立訴訟,とりたてそしょう,,collection law suit,,,,,,
取次,とりつぎ,,commission,,,,,,
取引,とりひき,1,trade,,,,,,
取引,とりひき,2,business,,,,,,
取引,とりひき,3,transaction,,,,,,
取引,とりひき,4,dealings,,,,,,
取引条件,とりひきじょうけん,1,trade terms,,,,,,
取引条件,とりひきじょうけん,2,terms and conditions (of transaction),,,,,,
取引制限,とりひきせいげん,,restraint on trade,,,,,,
取引分野,とりひきぶんや,,field of trade,,,,,,
取戻権,とりもどしけん,,right of segregation,,,,,,
内閣府令,ないかくふれい,,Cabinet Office Ordinance,,,,,,
内国法人,ないこくほうじん,,domestic corporation,,,,,,
内乱,ないらん,,insurrection,,,,,,
なおその効力を有する,なおそのこうりょくをゆうする,,remain in force,,,,,,
仲立,なかだち,,brokerage,,,,,,
仲立人,なかだちにん,,broker,,,,,,
並びに,ならびに,,and,,Ａ及びＢ、Ｃ並びにＤ,"A and B, C, and D",,,
難民,なんみん,,refugee,,,,,,
難民調査官,なんみんちょうさかん,,refugee inquirer,,,,,,
難民認定,なんみんにんてい,,refugee (status) recognition,,,,,,
難民認定証明書,なんみんにんていしょうめいしょ,,certificate of refugee status,,,,,,
難民旅行証明書,なんみんりょこうしょうめいしょ,,refugee travel document,,,,,,
荷受人,にうけにん,,consignee,,,,,,
…において準用する…の規定,…においてじゅんようする…のきてい,,"the provision of …, as applied mutatis mutandis pursuant to …",,,,,,
…において準用する場合を含む,…においてじゅんようするばあいをふくむ,,including the cases where applied mutatis mutandis pursuant to,,,,,,
…において読み替えて準用する…の規定,…においてよみかえてじゅんようする…のきてい,,"the provision of …, as applied mutatis mutandis pursuant to … after deemed replacement,",,,,,,
荷送人,におくりにん,,consignor,,,,,,
に掲げる,にかかげる,,(matters) set forth in,,第２号から第４号までに掲げる（事項）,(matters) set forth in items 2 to 4 inclusive,,,
に掲げる,にかかげる,,(matters) set forth in,,次に掲げる（事項）,following (matters),,,
に掲げるもののほか,にかかげるもののほか,,in addition to what is set forth in,,,,,,
に限る,にかぎる,,limited to,,第１項の資格（政令で定めるものに限る。）,qualifications provided by para.1 (limited to those specified by Cabinet Order),,,
に限る,にかぎる,,limited to,,ただし、第５条に規定する場合に限る,"provided, however, that this is limited to the cases prescribed by Art. 5",,,
に代わる,にかわる,,in lieu of,,,,,,
に関する法律,にかんするほうりつ,1,Act on,原則,臓器の移植に関する法律,Act on Organ Transplantation,,,
に関する法律,にかんするほうりつ,2,… Act,「に関する法律」を「…Act」とする翻訳がすでに海外において定着している場合,行政機関が行う政策の評価に関する法律,Government Policy Evaluations Act,,,
に関連する,にかんれんする,,(matters) relevant to,,,,,,
に定めるところにより,にさだめるところにより,1,pursuant to the provision of,,,,,,
に定めるところにより,にさだめるところにより,2,as provided for by,,,,,,
二次使用,にじしよう,,secondary use,,,,,,
二次使用料,にじしようりょう,,secondary use fee,,,,,,
に従わないで,にしたがわないで,,not complying with,,,,,,
に準ずる,にじゅんずる,1,equivalent,形容詞（同等の、類似の）,これに準ずる方法,equivalent method,,,
に準ずる,にじゅんずる,2,is dealt with in the same manner as,動詞（同様に扱う）,正犯に準ずる,is dealt with in the same manner as a principal,,,
に処する,にしょする,,is punished by,,,,,,
については、…の例による,…については、…のれいによる,,is governed by …,,その時効については、国税の例による,the prescription is governed by the same rules as national tax,,,
については、…の例による,…については、…のれいによる,,is governed by …,,前項の場合には、次の例による,the cases referred to in the preceding paragraph are governed by the following rules,,,
については、なお従前の例による,については、なおじゅうぜんのれいによる,,the provisions then in force remain applicable,,この法律の施行前にした行為に対する罰則の適用については、なお従前の例による,"with regard to the application of penal provisions to acts committed prior to the enforcement of this Act, the provisions then in force remain applicable",,,
日当,にっとう,,daily allowance,,,,,,
に照らし,にてらし,,in light of,,,,,,
日本銀行券,にほんぎんこうけん,,Bank of Japan note,,,,,,
日本農林規格,にほんのうりんきかく,,Japanese agricultural standard,,,,,,
日本弁護士連合会,にほんべんごしれんごうかい,,Japan Federation of Bar Associations,,,,,,
日本弁理士会,にほんべんりしかい,,Japan Patent Attorneys Association,,,,,,
に満たない,にみたない,1,less than,原則,一株に満たない端数,a fraction less than one share,,,
に満たない,にみたない,2,under,年齢の場合,１４歳に満たない者,a person under 14 years of age,,,
に基づく,にもとづく,1,based on,原則,専門的知見に基づく意見,opinion based on expert knowledge,,,
に基づく,にもとづく,2,pursuant to,法令の規定等,第６０条の規定に基づく措置,measures pursuant to Art. 60,,,
入国,にゅうこく,1,entry,物理的な入国,,,,,
入国,にゅうこく,2,immigration,手続きを経た入国,,,,,
入国警備官,にゅうこくけいびかん,,immigration control officer,,,,,,
入国者収容所,にゅうこくしゃしゅうようじょ,,immigration detention center,,,,,,
入国審査官,にゅうこくしんさかん,,immigration inspector,,入国審査官に対し上陸の申請をして,apply for landing to an immigration inspector,出入国管理及び難民認定法6条2項,,
入札,にゅうさつ,1,tender,,,,,,
入札,にゅうさつ,2,bid,,,,,,
入札,にゅうさつ,3,bidding process,入札手続そのもの,,,,,
入札談合,にゅうさつだんごう,,bid rigging,,,,,,
任意規定,にんいきてい,1,discretionary provision,,,,,,
任意規定,にんいきてい,2,default provision,,,,,,
任意代位,にんいだいい,,voluntary subrogation,,,,,,
任意積立金,にんいつみたてきん,,voluntary reserve,,,,,,
任意的口頭弁論,にんいてきこうとうべんろん,,optional oral arguments,,,,,【注】（出典）破産法8条、民事再生法8条、会社更生法8条,
任意に,にんいに,,voluntarily,,,,,,
任意売却,にんいばいきゃく,,sale by private contract,,,,,,
認可,にんか,1,authorization,,,,,,
認可,にんか,2,approval,,,,,,
認可,にんか,3,permission,,,,,,
認可,にんか,4,confirmation,更生計画の認可の場合,,,,,
認可事業者,にんかじぎょうしゃ,,approved services operator,,,,,,
任期,にんき,,term of office,,,,,,
認証,にんしょう,1,certification,,,,,,
認証,にんしょう,2,approval,,,,,,
認証,にんしょう,3,accreditation,教育機関の認証の場合,,,,,
認諾,にんだく,1,cognizance,,,,,,
認諾,にんだく,2,acknowledgment,,,,,,
認知,にんち,1,acknowledgment of paternity,,,,,,
認知,にんち,2,filiation,,,,,,
認定する,にんていする,1,certify,,,,,,
認定する,にんていする,2,approve,,,,,,
認否,にんぴ,,approval or disapproval,,,,,,
認否書,にんぴしょ,,statement of approval or disapproval,,,,,,
任務,にんむ,1,duty,一般的な職務・職責,,,,,
任務,にんむ,2,task,一定期間内の仕事や課業,,,,,
任務,にんむ,3,mission,特別な任務や使命,,,,,
任務,にんむ,4,assignment,割り当てられた職務・職責,,,,,
任命,にんめい,,appointment,,,,,,
任命権,にんめいけん,,appointive power,,,,,,
任命権者,にんめいけんしゃ,,appointer,,,,,,
任免,にんめん,,appointment and dismissal,,,,,,
任用,にんよう,1,appointment,,,,,,
任用,にんよう,2,assignment,,,,,,
根抵当権,ねていとうけん,,revolving mortgage,,,,,,
根抵当権設定者,ねていとうけんせっていしゃ,,mortgagor of a revolving mortgage,,,,,,
根保証,ねほしょう,,revolving guarantee,,,,,,
年金,ねんきん,,pension,,,,,,
年金給付,ねんきんきゅうふ,,pension benefit,,,,,,
年金差額一時金,ねんきんさがくいちじきん,,pension balance lump sum payment,,,,,,
年次有給休暇,ねんじゆうきゅうきゅうか,,annual paid leave,,,,,,
年法律第…号,ねんほうりつだい…ごう,,Act No. … of,,平成１１年法律第１０３号,Act No. 103 of 1999,,【注】政省令等についてもこれに準ずる。,
のいずれかに該当する,のいずれかにがいとうする,,fall under any of,,,,,,
農業,のうぎょう,,agriculture,,,,,,
農業協同組合,のうぎょうきょうどうくみあい,,agricultural cooperative,,,,,,
農作物,のうさくぶつ,,crops,,,,,,
納税義務者,のうぜいぎむしゃ,,taxpayer,,,,,,
農地,のうち,,agricultural land,,,,,,
納付,のうふ,,payment,,,,,,
納付金,のうふきん,1,payment to the government,,,,,,
納付金,のうふきん,2,payment,前後関係から誰に対する支払いか分かる場合,,,,,
納付命令,のうふめいれい,,payment order,,,,,,
納付命令書,のうふめいれいしょ,,written payment order,,,,,,
農用地,のうようち,,agricultural land,,,,,,
農林中央金庫,のうりんちゅうおうきんこ,,Norinchukin,,,,,,
農林物資,のうりんぶっし,,agricultural and forestry product,,,,,,
…の規定に違反して…した者,…のきていにいはんして…したもの,,"any person who, in violation of …、 has done …",,第２０条の規定に違反して故意に報告しなかった者,any person who has intentionally failed to report in violation of Article 20,,,
…の規定にかかわらず,…のきていにかかわらず,,notwithstanding the provision of,,,,,,
…の規定により,…のきていにより,,pursuant to the provision of,,,,,,
…の規定は、…について準用する,…のきていは、…についてじゅんようする,,the provisions of ... apply mutatis mutandis to ...,,,,,,
…の規定は、…についても適用する,…のきていは、…についてもてきようする,,the provisions of … also apply to …,,,,,,
…の日の…日前までに,…のひの…にちまえまでに,,… days prior to the date of,,,,,,
…の日の翌日から起算して,…のひのよくじつからきさんして,1,from the day following the date of,原則,,,,,
…の日の翌日から起算して,…のひのよくじつからきさんして,2,since the day following the date of,期間の経過の場合,告示の日の翌日から起算して１年が経過したときは,when one year has passed since the day following the date of public notice,,,
…の日の翌日から起算して,…のひのよくじつからきさんして,3,commencing from the day following the date of,,,,,,
乗組員,のりくみいん,,crew,,,,,,
…は、…と解釈してはならない,…は、…とかいしゃくしてはならない,,must not be construed as …,,,,,,
…は、…と認めるときは,…は、…とみとめるときは,,when … find …,,裁判所は、適当と認めるときは、…することができる,"the court may, when it finds appropriate, …",,,
…は、…と認めるときは,…は、…とみとめるときは,,when … find …,,主務大臣は、…のおそれがあると認めるときは、…しなければならない,"the competent minister must, when the minister finds a risk of …, …",,,
…は、他の法律に特別の定めのある場合を除くほか、この法律の定めるところによる,…は、たのほうりつにとくべつのさだめのあるばあいをのぞくほか、このほうりつのさだめるところによる,,"is governed by the provisions of this Act, except as otherwise provided by other acts",,,,,,
ばい煙,ばいえん,,soot and smoke,,,,,,
媒介,ばいかい,1,brokerage,,,,,,
媒介,ばいかい,2,intermediation,,,,,,
廃棄,はいき,1,disposal,,,,,,
廃棄,はいき,2,destruction,,,,,,
廃棄,はいき,3,abandonment,,,,,,
廃棄物,はいきぶつ,,waste,,,,,,
売却基準価額,ばいきゃくきじゅんかかく,,reference sale price,,,,,,
配偶者,はいぐうしゃ,,spouse,,,,,,
廃止,はいし,,disestablishment,機関の廃止の場合,,,,,
排出,はいしゅつ,1,discharge,,,,,,
排出,はいしゅつ,2,emission,,,,,,
排出基準,はいしゅつきじゅん,,emission standard,,,,,,
排除,はいじょ,1,elimination,原則,,,,,
排除,はいじょ,2,exclude,除外,,,,,
排除,はいじょ,3,to cease and desist,違反行為の排除,,,,,
廃除,はいじょ,,disinheritance,,,,,,
賠償,ばいしょう,,compensation,,費用賠償,compensation for costs,刑事訴訟法490条,,
賠償額の予定,ばいしょうがくのよてい,,(agreement for) liquidated damages,,,,,,
排除命令,はいじょめいれい,,cease and desist order,,,,,,
ばいじん,ばいじん,,soot and dust,,,,,,
排水基準,はいすいきじゅん,,effluent standard,,,,,,
陪席裁判官,ばいせきさいばんかん,,associate judge,,,,,,
配当,はいとう,1,dividend,利益の処分,,,,,
配当,はいとう,2,distribution,出資の一部払戻し,,,,,
配当,はいとう,3,liquidating distribution,民事執行・配当手続,,,,,
配当異議,はいとういぎ,,opposition to distribution,,,,,,
配当財産,はいとうざいさん,,dividend property,,,,,,
配当所得,はいとうしょとく,,dividend income,,,,,,
配当表,はいとうひょう,,distribution list,,,,,,
配当要求,はいとうようきゅう,,distribution demand,,,,,,
配当率,はいとうりつ,,percentage of distribution,,,,,,
売得金,ばいとくきん,,proceeds,,,,,【注】（出典）破産法186条,
背任,はいにん,,breach of trust,,,,,,
破壊活動,はかいかつどう,,subversive activity,,,,,,
破壊的団体,はかいてきだんたい,,subversive organization,,,,,,
破棄,はき,1,destruction,破り捨てること,,,,,
破棄,はき,2,reversal,原判決を取り消すこと,,,,,
破棄,はき,3,quash,原判決を取り消すこと,,,,,
博徒,ばくと,,habitual gambler,,,,,,
爆発物,ばくはつぶつ,,explosives,,,,,,
派遣,はけん,1,dispatch,原則,,,,,
派遣,はけん,2,delegate,代表団等の派遣,,,,,
派遣労働者,はけんろうどうしゃ,,dispatched worker,,,,,,
破産,はさん,,bankruptcy,,,,,,
破産管財人,はさんかんざいにん,,bankruptcy trustee,,,,,,
破産管財人代理,はさんかんざいにんだいり,,bankruptcy trustee representative,,,,,,
破産債権,はさんさいけん,,bankruptcy claim,,,,,,
破産債権者,はさんさいけんしゃ,,bankruptcy creditor,,,,,,
破産財団,はさんざいだん,,bankruptcy estate,,,,,,
破産裁判所,はさんさいばんしょ,,bankruptcy court,,,,,,
破産事件,はさんじけん,,bankruptcy case,,,,,,
破産者,はさんしゃ,,bankrupt,,,,,,
破産手続,はさんてつづき,,bankruptcy proceeding(s),,破産手続開始,commencement of bankruptcy proceeding(s),,,
破産手続,はさんてつづき,,bankruptcy proceeding(s),,破産手続開始の原因,grounds for the commencement of bankruptcy proceeding(s),,,
破産手続,はさんてつづき,,bankruptcy proceeding(s),,破産手続参加,participation in bankruptcy proceeding(s),,,
破産手続,はさんてつづき,,bankruptcy proceeding(s),,破産手続終結の決定,order for termination of the bankruptcy proceeding(s),,,
破産手続,はさんてつづき,,bankruptcy proceeding(s),,破産手続廃止,discontinuance of bankruptcy proceeding(s),,,
罰金,ばっきん,,fine,,,,,,
発行,はっこう,1,issue,原則,,,,,
発行,はっこう,2,publication,著作物,,,,,
発行価額,はっこうかがく,,issue price,,,,,,
発行可能株式総数,はっこうかのうかぶしきそうすう,,total number of authorized shares,,,,,,
発行可能種類株式総数,はっこうかのうしゅるいかぶしきそうすう,,total number of authorized shares in a class,,,,,,
発行者,はっこうしゃ,1,issuer,原則,,,,,
発行者,はっこうしゃ,2,publisher,著作物,,,,,
発行済株式,はっこうずみかぶしき,,issued shares,,,,,,
発行登録,はっこうとうろく,,shelf registration (statement),,,,,,
発行登録追補書類,はっこうとうろくついほしょるい,,shelf registration supplements,,,,,,
発効日,はっこうび,,effective date,,,,,,
罰条,ばつじょう,,applicable penal statute,,,,,,
罰則,ばっそく,,penal provision,,,,,,
発注者,はっちゅうしゃ,,orderer,,,,,,
発付,はっぷ,,issue,令状発付の場合,,,,,
発明,はつめい,,invention,,,,,,
発明者,はつめいしゃ,,inventor,,,,,,
発問権,はつもんけん,,right to question,,,,,,
発令,はつれい,,issuance,,,,,,
…は犯罪捜査のために認められたものと解してはならない,…ははんざいそうさのためにみとめられたものとかいしてはならない,,…must not be construed as being granted for criminal investigation purposes,,,,,,
払込,はらいこみ,,payment,,,,,,
払込金,はらいこみきん,,paid money,,,,,,
払込金額,はらいこみきんがく,1,amount to be paid in,払い込むべき金額の場合,,,,【注】会社法上使用される「払込金額」,
払込金額,はらいこみきんがく,2,paid-in amount,既に払い込まれた金額の場合,,,,,
払戻し,はらいもどし,,refund,,,,,,
判決,はんけつ,1,judgment,判決一般,,,,,
判決,はんけつ,2,sentence,有罪判決,,,,,
判決,はんけつ,3,judgment of conviction,有罪判決→刑の免除を含む有罪判決を総称する場合,,,,,
判決裁判所,はんけつさいばんしょ,1,sentencing court,刑事の場合,,,,,
判決裁判所,はんけつさいばんしょ,2,court pronouncing judgment,民事の場合,,,,,
判決書,はんけつしょ,,judgment document,,,,,,
判決による支払の猶予,はんけつによるしはらいのゆうよ,,payment grace period pursuant to judgment,,,,,,
犯罪,はんざい,1,crime,,,,,,
犯罪,はんざい,2,offense,,,,,,
犯罪行為,はんざいこうい,,criminal act,,犯罪行為…により生じ、若しくは当該犯罪行為により得た財産又は当該犯罪行為の報酬として得た財産,"any property produced by, obtained through, or obtained in reward for a criminal act",組織的犯罪処罰法2条2項1号,,
犯罪収益,はんざいしゅうえき,,crime proceeds,,,,,,
犯罪地,はんざいち,,place of crime,,,,,,
犯罪人,はんざいにん,1,offender,,,,,,
犯罪人,はんざいにん,2,criminal,,,,,,
判事補,はんじほ,,assistant judge,,,,,,
犯情,はんじょう,,circumstances (of the crime),,,,,,
反訴,はんそ,,counterclaim,,,,,,
反対給付,はんたいきゅうふ,,counter-performance,,,,,,
犯人,はんにん,1,criminal,,,,,,
犯人,はんにん,2,offender,,,,,,
販売,はんばい,,sale,,,,,,
販売価格,はんばいかかく,,selling price,,,,,,
販売業者,はんばいぎょうしゃ,1,seller,,,,,,
販売業者,はんばいぎょうしゃ,2,distributor,,,,,,
販売業者,はんばいぎょうしゃ,3,dealer,,,,,,
販売費,はんばいひ,,selling expenses,会計勘定科目,,,,,
頒布,はんぷ,,distribution,,,,,,
判例,はんれい,1,(court) precedent,,,,,,
判例,はんれい,2,judicial precedent,,,,,,
非永住者,ひえいじゅうしゃ,,non-permanent resident,,,,,,
非営利活動法人,ひえいりかつどうほうじん,,nonprofit corporation,,,,,,
被害,ひがい,1,damage,,,,,,
被害,ひがい,2,harm,,,,,,
被害者,ひがいしゃ,1,victim,,,,,,
被害者,ひがいしゃ,2,aggrieved party,民事の場合,,,,,
被害者,ひがいしゃ,3,injured party,"""injuring party""との対で使用する場合",,,,,
